code,category_eng,category_rus
5198," Paints, Varnishes, and Supplies No1.6041-3 ",Лакокрасочная продукция и сопровождающие товары)
5199, Nondurable Goods ,"Not Elsewhere Classified) No1.6041-3 (Товары недлительного пользования, не классифицированные  ранее)"
5200, Home Supply Warehouse Stores No1.6041-3,Товары для дома)
5211," Lumber, Building Materials Stores No1.6041-3 ",Лесо- и строительный материал)
5231," Glass, Paint, and Wallpaper Stores No1.6041-3 ","Розничная продажа стекла, красок и обоев)"
5251, Hardware Stores No1.6041-3 ,Скобяные товары в розницу)
5261," Nurseries, Lawn and Garden Supply Stores No1.6041-3 ",Садовые принадлежности (в том числе для ухода за газонами) в розницу)
5271, Mobile Home Dealers No1.6041-3 ,Продажа жилых фургонов)
5300, Wholesale Clubs No1.6041-3 ,Оптовики)
5309, Duty Free Stores No1.6041-3 ,Беспошлинные магазины Duty Free)
5310, Discount Stores No1.6041-3 ,"Магазины, торгующие по сниженным ценам)"
5311, Department Stores No1.6041-3 ,Универмаги)
5331, Variety Stores No1.6041-3 ,Универсальные магазины)
5399, Miscellaneous General Merchandise No1.6041-3 ,Различные товары общего назначения)
5411," Grocery Stores, Supermarkets No1.6041-3 ","Бакалейные магазины, супермаркеты)"
5422, Freezer and Locker Meat Provisioners No1.6041-3 ,Продажа свежего и мороженого  мяса)
5441," Candy, Nut, and Confectionery Stores No1.6041-3 ",Кондитерские)
5451, Dairy Products Stores No1.6041-3 ,Продажа молочных продуктов в розницу)
5462, Bakeries No1.6041-3 ,Булочные)
5499, Miscellaneous Food Stores – Convenience Stores and Specialty Markets No1.6041-3 ,"Различные продовольственные магазины – рынки, магазины со спец. ассортиментом, продажа полуфабрикатов, фирменных блюд, продажа с помощью торговых автоматов.)"
5511, Car and Truck Dealers ,"New & Used) Sales, Service, Repairs Parts and Leasing No1.6041-3 (Легковой и грузовой транспорт – продажа, сервис, ремонт, запчасти и лизинг)"
5521, Car and Truck Dealers ,"Used Only) Sales, Service, Repairs Parts and Leasing No1.6041-3 (Продажа легковых и грузовых автомобилей (только подержанных))"
5531, Auto and Home Supply Stores No1.6041-3 ,Автомагазины и товары для дома)
5532, Automotive Tire Stores No1.6041-3 ,Автошины)
5533, Automotive Parts and Accessories Stores No1.6041-3 ,Автозапчасти и аксессуары)
5541, Service Stations No1.6041-3 ,Станции техобслуживания (с дополнительными услугами или без))
5542, Automated Fuel Dispensers No1.6041-3 ,Автоматизированные бензозаправки)
5551, Boat Dealers No1.6041-3 ,Продажа лодок)
5561," Motorcycle Shops, Dealers No1.6041-3 ","Дома-автоприцепы, жилые неразборные и грузовые прицепы)"
5571, Motorcycle Shops and Dealers No1.6041-3 ,Продажа мотоциклов)
5592, Motor Homes Dealers No1.6041-3 ,Продажа домов на колесах)
5598, Snowmobile Dealers No1.6041-3 ,Продажа снегоходов)
5599, Miscellaneous Auto Dealers No1.6041-3 ,"Продажа различного рода автомобилей, авиа- и с/х оборудования, не классифицированные ранее)"
5611, Men’s and Boy’s Clothing and Accessories Stores No1.6041-3 ,"Мужская одежда и аксессуары, включая одежду для мальчиков)"
5621, Women’s Ready-To-Wear Stores No1.6041-3 ,Готовая женская одежда)
5631, Women’s Accessory and Specialty Shops No1.6041-3 ,Аксессуары для женщин)
5641, Children’s and Infant’s Wear Stores No1.6041-3 ,"Детская одежда, включая одежду для самых маленьких)"
5651, Family Clothing Stores No1.6041-3 ,Одежда для всей семьи)
5655, Sports and Riding Apparel Stores No1.6041-3 ,"Спортивная одежда, одежда для верховой езды и езды на мотоцикле)"
5661, Shoe Stores No1.6041-3 ,Обувные магазины)
5681, Furriers and Fur Shops No1.6041-3 ,Изготовление и продажа меховых изделий)
5691," Men’s, Women’s Clothing Stores No1.6041-3 ",Магазины мужской и женской одежды)
5697," Tailors, Alterations ","Услуги по переделке, починке и пошиву одежды)"
5698, Wig and Toupee Stores No1.6041-3 ,Парики и накладки из искусственных волос)
5699, Miscellaneous Apparel and Accessory Shops No1.6041-3 ,Различные магазины одежды и аксессуаров)
5712," Furniture, Home Furnishings, and Equipment Stores, Except Appliances No1.6041-3 ","Оборудование, мебель и бытовые принадлежности (кроме электрооборудования))"
5713, Floor Covering Stores No1.6041-3 ,Покрытия для пола)
5714," Drapery, Window Covering, and Upholstery Stores No1.6041-3 ","Ткани, обивочный материал, гардины и портьеры, жалюзи)"
5718," Fireplace, Fireplace Screens, and Accessories Stores No1.6041-3 ","Продажа каминов, экранов для каминов и аксессуаров)"
5719, Miscellaneous Home Furnishing Specialty Stores No1.6041-3 ,Различные специализированные магазины бытовых принадлежностей)
5722, Household Appliance Stores No1.6041-3 ,Бытовое оборудование)
5732, Electronics Stores No1.6041-3 ,Продажа электронного оборудования)
5733," Music Stores-Musical Instruments, Pianos, and Sheet Music No1.6041-3 ","Продажа музыкальных инструментов, фортепиано, нот.)"
5734, Computer Software Stores No1.6041-3 ,Продажа компьютерного программного обеспечения)
5735, Record Stores No1.6041-3 ,Магазины звукозаписи)
5811, Caterers ,Поставщики провизии)
5812," Eating Places, Restaurants No1.6041-3 ","Места общественного питания, рестораны)"
5813, Drinking Places No1.6041-3 ,"Бары, коктейль-бары, дискотеки, ночные клубы и таверны – места продажи алкогольных напитков)"
5814, Fast Food Restaurants No1.6041-3 ,Рестораны-закусочные)
5816, Digital Goods: Games ,комм. – код был замечен в PlayStationNetwork)
5912, Drug Stores and Pharmacies No1.6041-3 ,Аптеки)
5921," Package Stores-Beer, Wine, and Liquor No1.6041-3 ","Магазины с продажей спиртных напитков навынос(пиво, вино и ликер))"
5931, Used Merchandise and Secondhand Stores No1.6041-3 ,Магазины secondHand
5932, Antique Shops No1.6041-3 ,"Антикварные Магазины – Продажа, Ремонт и услуги восстановления)"
5933, Pawn Shops No1.6041-3 ,Ломбарды)
5935, Wrecking and Salvage Yards ,Магазины сбора и использования утиль сырья (переработанной продукции или брака))
5937, Antique Reproductions No1.6041-3 ,Магазины продажи репродукций и антиквариата)
5940, Bicycle Shops No1.6041-3 ,Веломагазины – Продажа и Обслуживание)
5941, Sporting Goods Stores No1.6041-3 ,Магазины Спорттоваров)
5942, Book Stores No1.6041-3 ,Книжные магазины)
5943," Stationery Stores, Office, and School Supply Stores No1.6041-3 ","Магазины офисных, школьных принадлежностей,"
5944," Jewelry Stores, Watches, Clocks, and Silverware Stores No1.6041-3 ","Магазины по продаже часов, ювелирных изделий и изделий из серебра)"
5945," Hobby, Toy, and Game Shops No1.6041-3 ",Магазины игрушек)
5946, Camera and Photographic Supply Stores No1.6041-3 ,Магазины фотооборудования и фотоприборов)
5947," Gift, Card, Novelty, and Souvenir Shops No1.6041-3 ","Магазины открыток, подарков, новинок и сувениров)"
5948, Luggage and Leather Goods Stores No1.6041-3 ,"Магазины кожаных изделий, дорожных принадлежностей)"
5949," Sewing, Needlework, Fabric, and Piece Goods Stores No1.6041-3 ","Магазины ткани, ниток рукоделия, шитья)"
5950," Glassware, Crystal Stores No1.6041-3 ",Магазины хрусталя и изделий из стекла)
5960, Direct Marketing – Insurance Services ,Прямой маркетинг – услуги по страхованию)
5962, Direct Marketing – Travel ,"Прямой маркетинг – услуги, относящиеся к туризму)"
5963, Door-To-Door Sales No1.6041-3 ,Распродажа из рук в руки (вразнос))
5964, Direct Marketing – Catalog Merchant No1.6041-3 ,Прямой маркетинг – торговля по каталогам)
5965, Direct Marketing – Combination Catalog and Retail Merchant No1.6041-3 ,Прямой маркетинг – комбинированный каталог и торговцы в розницу)
5966, Direct Marketing – Outbound Tele No1.6041-3 ,Прямой маркетинг – исходящий телемаркетинг)
5967, Direct Marketing – Inbound Tele No1.6041-3 ,Прямой маркетинг – входящий телемаркетинг)
5968, Direct Marketing – Subscription No1.6041-3 ,Прямой маркетинг – Торговые точки подписки)
5969, Direct Marketing – Other No1.6041-3 ,Прямой маркетинг – другие торговые точки прямого маркетинга (нигде более не классифицированные))
5970, Artist’s Supply and Craft Shops No1.6041-3 ,Магазины художественных и ремесляных изделий)
5971, Art Dealers and Galleries No1.6041-3 ,Галереи и художественные посредники)
5972, Stamp and Coin Stores No1.6041-3 ,Магазины монет и марок (филателические и нумизматические))
5973, Religious Goods Stores No1.6041-3 ,Магазины религиозных товаров)
5975, Hearing Aids Sales and Supplies No1.6041-3 ,"Слуховые аппараты – распродажа, услуги, магазины)"
5976, Orthopedic Goods – Prosthetic Devices No1.6041-3 ,Ортопедические товары)
5977, Cosmetic Stores No1.6041-3 ,Магазины косметики)
5978, Typewriter Stores No1.6041-3 ,"Магазины печатающих устройств – аренда, распродажа, услуги)"
5983, Fuel Dealers ,"Non Automotive) No1.6041-3 (Горючее топливо – уголь, нефть, разжиженный бензин, дрова)"
5992, Florists No1.6041-3 ,Флористика)
5993, Cigar Stores and Stands No1.6041-3 ,Табачные магазины)
5994, News Dealers and Newsstands No1.6041-3 ,Дилеры по продаже печатной продукции)
5995," Pet Shops, Pet Food, and Supplies No1.6041-3 ",Зоомагазины)
5996, Swimming Pools Sales No1.6041-3 ,Плавательные бассейны – Распродажа )
5997, Electric Razor Stores No1.6041-3 ,Магазины электрических бритвенных принадлежностей – распродажа и услуги.)
5998, Tent and Awning Shops No1.6041-3 ,Магазины палаток и навесов)
5999, Miscellaneous Specialty Retail No1.6041-3 ,Различные магазины и специальные розничные магазины)
6010, Manual Cash Disburse No1.6041-3 ,Финансовые институты – снятие наличности вручную)
6011, Automated Cash Disburse No1.6041-3 ,Финансовые институты – снятие наличности автоматически)
6012, Financial Institutions ,Финансовые институты – торговля и услуги)
6051," Foreign Currency,Money,Tc`S. Non-FI, Money Orders No1.6041-3."," Foreign Currency,Money,Tc`S. Non-FI, Money Orders No1.6041-3."
6211, Security Brokers/Dealers ,Ценные бумаги– Брокеры/Дилеры)
6300," Insurance Underwriting, Premiums No1.6041-3 ","Продажа страхования, гарантированное размещение, премии)"
6399, Insurance – Default No1.6041-3©, Insurance – Default No1.6041-3©
6513, Real Estate Agents and Managers – Rentals, Real Estate Agents and Managers – Rentals
6536,MasterCard MoneySend,денежные переводы MasterCard MoneySend
6537,MasterCard MoneySend,денежные переводы MasterCard MoneySend
6538,MasterCard MoneySend,денежные переводы MasterCard MoneySend
6540, – POI Funding Transactions ,Excluding MasterCard MoneySend)
7011," Hotels, Motels, and Resorts"," Hotels, Motels, and Resorts"
7012, Timeshares, Timeshares
7032, Sporting/Recreation Camps, Sporting/Recreation Camps
